
class:53, accuracy:0.91
class:54, accuracy:0.89
* Accuracy: 0.85824 under 54 classes, 5 samples/class

model:22_layers18_margin20_epoch22.tar
class:1 , accuracy:0.5
class:2 , accuracy:1.0
class:3 , accuracy:0.99
class:4 , accuracy:0.63
class:5 , accuracy:0.58333
class:6 , accuracy:0.93
class:7 , accuracy:0.73
class:8 , accuracy:0.68
class:9 , accuracy:0.74
class:10, accuracy:0.85
class:11, accuracy:0.99
class:12, accuracy:0.99
class:13, accuracy:0.84286
class:14, accuracy:1.0
class:15, accuracy:0.8
class:16, accuracy:0.98
class:17, accuracy:0.91
class:18, accuracy:1.0
class:19, accuracy:0.84
class:20, accuracy:0.82
class:21, accuracy:0.99
class:22, accuracy:0.71
class:23, accuracy:0.72
class:24, accuracy:0.47
class:25, accuracy:0.96
class:26, accuracy:0.37
class:27, accuracy:0.82
class:28, accuracy:0.91
class:29, accuracy:0.71
class:30, accuracy:0.69
class:31, accuracy:0.81443
class:32, accuracy:0.96
class:33, accuracy:0.58
class:34, accuracy:1.0
class:35, accuracy:0.11
class:36, accuracy:1.0
class:37, accuracy:0.96
class:38, accuracy:0.94
class:39, accuracy:0.91
class:40, accuracy:0.89796
class:41, accuracy:0.41
class:42, accuracy:0.43
class:43, accuracy:0.86667
class:44, accuracy:0.5
class:45, accuracy:0.35
class:46, accuracy:0.76812
class:47, accuracy:0.96
class:48, accuracy:0.59
class:49, accuracy:0.71
class:50, accuracy:0.81
class:51, accuracy:0.54
class:52, accuracy:0.62
class:53, accuracy:0.75
class:54, accuracy:0.82
* Accuracy: 0.76599 under 54 classes, 5 samples/class

model:16_layers18_margin20_epoch16.tar
class:1 , accuracy:0.56522
class:2 , accuracy:1.0
class:3 , accuracy:0.91
class:4 , accuracy:0.66
class:5 , accuracy:0.46667
class:6 , accuracy:0.97
class:7 , accuracy:0.82
class:8 , accuracy:0.84
class:9 , accuracy:0.65
class:10, accuracy:0.74
class:11, accuracy:0.95
class:12, accuracy:0.96
class:13, accuracy:0.61429
